!! request processed by HyperLeda Tue Oct 21 01:08:22 2014
!! Number of lines in uploaded file: 1014
                  name                  |      vdis       |      bri25      |      mabs       |
ESO292-022                              |                 | 24.014          | -22.155         |
ESO408-037                              |                 | 23.561          | -21.696         |
PGC072553                               |                 | 23.396          | -21.478         |
ESO349-001                              |                 | 24.235          | -22.973         |
PGC072814                               |                 | 24.577          | -21.285         |
PGC072891                               |                 | 23.435          | -21.162         |
PGC072917                               |                 | 23.397          | -20.992         |
PGC072944                               |                 | 23.499          | -21.294         |
PGC072952                               |  229.35         | 24.003          | -20.716         |
PGC072956                               |                 | 23.456          | -21.536         |
PGC072961                               |  283.01         | 23.65           | -21.534         |
PGC072986                               |  279.19         | 23.605          | -20.694         |
ESO349-010                              |  272.11         | 24.143          | -23.011         |
PGC073005                               |                 | 23.599          | -21.252         |
PGC073047                               |  150.18         | 23.96           | -20.995         |
PGC073072                               |                 | 23.413          | -19.096         |
PGC073119                               |                 | 23.919          | -21.258         |
PGC073165                               |                 | 23.487          | -21.197         |
PGC073360                               |                 | 23.994          | -21.142         |
PGC073361                               |                 | 24.255          | -22.014         |
PGC073460                               |                 | 23.907          | -22.338         |
PGC083644                               |                 |                 |                 |
PGC083784                               |                 | 25.355          |                 |
PGC083785                               |                 |                 |                 |
PGC083787                               |                 | 24.68           |                 |
PGC083788                               |                 |                 |                 |
PGC083789                               |                 |                 |                 |
PGC083790                               |                 | 24.625          |                 |
PGC083793                               |                 |                 |                 |
PGC083794                               |                 |                 |                 |
PGC083795                               |                 |                 |                 |
PGC083799                               |                 | 24.949          |                 |
PGC083800                               |                 |                 |                 |
PGC083801                               |                 |                 |                 |
PGC083802                               |                 |                 |                 |
PGC083805                               |                 |                 |                 |
PGC083806                               |                 |                 |                 |
PGC083807                               |                 |                 |                 |
PGC083809                               |                 | 23.472          | -17.283         |
PGC083814                               |                 | 25.173          |                 |
PGC083816                               |                 | 23.444          |                 |
PGC083817                               |                 | 23.648          | -21.535         |
PGC083819                               |                 | 25.102          |                 |
PGC083820                               |                 | 24.137          | -17.364         |
PGC083822                               |                 |                 |                 |
PGC083824                               |                 | 24.293          |                 |
PGC083826                               |                 |                 |                 |
PGC083828                               |                 | 23.435          | -17.352         |
PGC083829                               |                 |                 |                 |
PGC083830                               |                 | 23.908          |                 |
PGC083832                               |                 |                 |                 |
PGC083833                               |                 |                 |                 |
PGC083835                               |                 |                 |                 |
PGC083836                               |                 | 24.797          |                 |
PGC083837                               |                 |                 |                 |
PGC083839                               |                 |                 |                 |
PGC083840                               |                 |                 |                 |
PGC083841                               |                 |                 |                 |
PGC083843                               |                 |                 |                 |
PGC083844                               |                 | 24.132          |                 |
PGC083845                               |                 |                 |                 |
PGC083846                               |                 |                 |                 |
PGC083847                               |                 | 24.577          |                 |
PGC083848                               |                 | 23.642          |                 |
PGC083849                               |                 |                 |                 |
PGC083850                               |                 |                 |                 |
PGC083854                               |                 |                 |                 |
PGC083856                               |                 | 23.584          | -17.304         |
PGC083857                               |                 |                 |                 |
PGC083858                               |                 |                 |                 |
PGC083860                               |                 |                 |                 |
PGC083861                               |                 |                 |                 |
PGC083863                               |                 |                 |                 |
PGC083864                               |                 | 24.894          |                 |
PGC083865                               |                 | 24.924          |                 |
PGC083866                               |                 |                 |                 |
PGC083867                               |                 |                 |                 |
PGC083871                               |                 | 25.12           |                 |
PGC083873                               |                 |                 |                 |
